Spanish,English,Example Sentence
yo,I,Yo soy estudiante / I am a student.
tú,you (informal),¿Tú tienes una pregunta? / Do you have a question?
él,he,Él vive en España / He lives in Spain.
ella,she,Ella es mi amiga / She is my friend.
nosotros,we (masculine/mixed),Nosotros vamos al cine / We are going to the movies.
nosotras,we (feminine),Nosotras somos profesoras / We are teachers.
vosotros,you all (masculine/mixed, informal in Spain),Vosotros habláis español / You all speak Spanish.
vosotras,you all (feminine, informal in Spain),Vosotras estudiáis mucho / You all study a lot.
ellos,they (masculine/mixed),Ellos están felices / They are happy.
ellas,they (feminine),Ellas cantan muy bien / They sing very well.
usted,you (formal),¿Usted trabaja aquí? / Do you work here?
ustedes,you all (formal/informal in Latin America),¿Ustedes son de México? / Are you all from Mexico?
ser,to be (essential/permanent),Yo soy alto / I am tall.
estar,to be (temporary/location),¿Cómo estás hoy? / How are you today?
tener,to have,Yo tengo un perro / I have a dog.
hacer,to do/make,¿Qué haces ahora? / What are you doing now?
ir,to go,Nosotros vamos al parque / We are going to the park.
decir,to say/tell,¿Qué dices tú? / What are you saying?
ver,to see,Yo veo la televisión / I watch television.
dar,to give,Él me da un regalo / He gives me a gift.
saber,to know (facts),¿Sabes la respuesta? / Do you know the answer?
querer,to want,Quiero aprender español / I want to learn Spanish.
llegar,to arrive,Ellos llegan tarde / They arrive late.
pasar,to pass/happen,Pasa el tiempo rápido / Time passes quickly.
de,of/from,La casa de María / Maria's house.
a,to/at,Voy a la escuela / I go to school.
en,in/on,El libro está en la mesa / The book is on the table.
por,by/for/through,Vamos por el parque / We go through the park.
para,for/to,Esto es para ti / This is for you.
con,with,Yo estudio con Juan / I study with Juan.
sin,without,No puedo vivir sin ti / I cannot live without you.
sobre,on/about,El libro está sobre la mesa / The book is on the table.
entre,between,Estoy entre amigos / I am among friends.
pero,but,Me gusta el café, pero prefiero té / I like coffee, but I prefer tea.
porque,because,Estudio porque quiero aprender / I study because I want to learn.
muy,very,Estoy muy contento / I am very happy.
mucho,a lot/much,Gracias, te quiero mucho / Thank you, I love you a lot.
todo,everything/all,Todo está listo / Everything is ready.
nada,nothing,No veo nada / I see nothing.
algo,something,¿Quieres algo de comer? / Do you want something to eat?
también,also,Yo también quiero ir / I also want to go.
si,if,Si quieres, podemos ir juntos / If you want, we can go together.
sí,yes,Sí, entiendo / Yes, I understand.
no,no,No quiero ir / I don't want to go.
ni,neither/nor,No quiero té ni café / I don’t want tea or coffee.
ya,already/now,Ya terminé mi tarea / I already finished my homework.
aquí,here,Estoy aquí para ayudarte / I am here to help you.
allí,there,El libro está allí / The book is there.
allá,over there,Mi casa está allá / My house is over there.
hoy,today,Hoy es lunes / Today is Monday.
mañana,tomorrow,Nos vemos mañana / See you tomorrow.
ayer,yesterday,Ayer fuimos al cine / Yesterday we went to the movies.
ahora,now,Ahora estoy ocupado / I am busy now.
entonces,then,Entonces, ¿qué hacemos? / Then, what do we do?
cuando,when,¿Cuándo es la reunión? / When is the meeting?
dónde,where,¿Dónde está mi mochila? / Where is my backpack?
quién,who,¿Quién viene a la fiesta? / Who is coming to the party?
qué,what,¿Qué estudias? / What do you study?
cómo,how,¿Cómo estás? / How are you?
cuánto,how much,¿Cuánto cuesta esto? / How much does this cost?
uno,one,Tengo un perro / I have one dog.
dos,two,Compré dos manzanas / I bought two apples.
tres,three,Tres gatos viven aquí / Three cats live here.
grande,big,Es una casa grande / It is a big house.
pequeño,small,Tengo un perro pequeño / I have a small dog.
bueno,good,Es un buen día / It is a good day.
malo,bad,Tuve un día malo / I had a bad day.
nuevo,new,Tengo un coche nuevo / I have a new car.
viejo,old,El edificio es muy viejo / The building is very old.
alto,tall,Él es muy alto / He is very tall.
bajo,short,La mesa es baja / The table is low.
bonito,pretty,Esa flor es muy bonita / That flower is very pretty.
feo,ugly,El edificio es feo / The building is ugly.
rápido,fast,El coche es rápido / The car is fast.
lento,slow,El tren es lento / The train is slow.
caliente,hot,El café está caliente / The coffee is hot.
frío,cold,El agua está fría / The water is cold.
feliz,happy,Estoy muy feliz / I am very happy.
triste,sad,Ella está triste / She is sad.
fácil,easy,Este ejercicio es fácil / This exercise is easy.
difícil,difficult,El examen fue difícil / The exam was difficult.
amigo,friend,Mi amigo es muy simpático / My friend is very nice.
gente,people,Hay mucha gente aquí / There are many people here.
niño,child,El niño juega en el parque / The child plays in the park.
padre,father,Mi padre trabaja mucho / My father works a lot.
madre,mother,Mi madre cocina bien / My mother cooks well.
hermano,brother,Mi hermano es alto / My brother is tall.
hermana,sister,Mi hermana está aquí / My sister is here.
familia,family,Mi familia es grande / My family is big.
casa,house,Mi casa está cerca / My house is nearby.
escuela,school,La escuela es nueva / The school is new.
trabajo,work/job,Él tiene un trabajo interesante / He has an interesting job.
dinero,money,Necesito más dinero / I need more money.
comida,food,La comida está deliciosa / The food is delicious.
agua,water,Quiero un vaso de agua / I want a glass of water.
día,day,Hoy es un buen día / Today is a good day.
noche,night,La noche es tranquila / The night is calm.
tiempo,time/weather,No tengo tiempo / I don't have time.
hora,hour/time,¿Qué hora es? / What time is it?
año,year,El próximo año viajo / Next year I travel.
mes,month,Es el mes de noviembre / It is the month of November.
semana,week,La próxima semana tengo un examen / Next week I have an exam.
